Date;Value
2020-01-01;281.94
2020-01-02;240.23
2020-01-03;249.56
2020-01-04;255.19
2020-01-05;217.9
2020-01-06;257.94
2020-01-07;299.03
2020-01-08;272.45
2020-01-09;270.96
2020-01-10;266.26
2020-01-11;310.25
2020-01-12;286.85
2020-01-13;285.49
2020-01-14;314.98
2020-01-15;282.18
2020-01-16;228.27
2020-01-17;267.02
2020-01-18;292.75
2020-01-19;301.49
2020-01-20;242.12
2020-01-21;335.05
2020-01-22;281.32
2020-01-23;269.5
2020-01-24;313.08
2020-01-25;313.85
2020-01-26;270.04
2020-01-27;316.67
2020-01-28;284.3
2020-01-29;258.62
2020-01-30;277.01
2020-01-31;293.82
2020-02-01;280.18
2020-02-02;265.38
2020-02-03;296.19
2020-02-04;315.33
2020-02-05;280.71
2020-02-06;257.07
2020-02-07;291.16
2020-02-08;279.72
2020-02-09;255.56
2020-02-10;290.72
2020-02-11;285.95
2020-02-12;333.98
2020-02-13;307.86
2020-02-14;265.44
2020-02-15;292.21
2020-02-16;292.69
2020-02-17;284.71
2020-02-18;290.8
2020-02-19;289.37
2020-02-20;290.34
2020-02-21;290.79
2020-02-22;286.49
2020-02-23;287.88
2020-02-24;287.71
2020-02-25;297.05
2020-02-26;298.89
2020-02-27;286.42
2020-02-28;291.91
2020-02-29;294.94
2020-03-01;278.1
2020-03-02;288.07
2020-03-03;293.8
2020-03-04;299.75
2020-03-05;285.28
2020-03-06;294.96
2020-03-07;292.35
2020-03-08;290.08
2020-03-09;294.99
2020-03-10;295.11
2020-03-11;286.19
2020-03-12;284.94
2020-03-13;282.29
2020-03-14;286.85
2020-03-15;278.14
2020-03-16;281.44
2020-03-17;277.94
2020-03-18;281.01
2020-03-19;286.7
2020-03-20;288.9
2020-03-21;277.2
2020-03-22;263.71
2020-03-23;279.61
2020-03-24;275.31
2020-03-25;278.09
2020-03-26;279.12
2020-03-27;283.53
2020-03-28;288.24
2020-03-29;279.61
2020-03-30;267.89
2020-03-31;261.6
2020-04-01;258.83
2020-04-02;259.88
2020-04-03;249.95
2020-04-04;257.28
2020-04-05;267.96
2020-04-06;253.57
2020-04-07;267.55
2020-04-08;262.32
2020-04-09;261.47
2020-04-10;259.65
2020-04-11;260.73
2020-04-12;262.71
2020-04-13;266.35
2020-04-14;271.92
2020-04-15;277.23
2020-04-16;269.92
2020-04-17;264.32
2020-04-18;265.82
2020-04-19;270.88
2020-04-20;266.93
2020-04-21;264.05
2020-04-22;272.58
2020-04-23;271.56
2020-04-24;272.57
2020-04-25;270.69
2020-04-26;268.8
2020-04-27;272.05
2020-04-28;264.68
2020-04-29;264.74
2020-04-30;264.68
2020-05-01;266.04
2020-05-02;266.4
2020-05-03;267.56
2020-05-04;265.5
2020-05-05;272.83
2020-05-06;269.6
2020-05-07;272.24
2020-05-08;265.69
2020-05-09;264.09
2020-05-10;271.9
2020-05-11;272.09
2020-05-12;272.07
2020-05-13;280.83
2020-05-14;269.12
2020-05-15;287.41
2020-05-16;296.33
2020-05-17;296.04
2020-05-18;292.86
2020-05-19;294.51
2020-05-20;293.01
2020-05-21;286.8
2020-05-22;290.89
2020-05-23;294.57
2020-05-24;286.09
2020-05-25;289.13
2020-05-26;292.7
2020-05-27;296.73
2020-05-28;293.09
2020-05-29;283.21
2020-05-30;281.83
2020-05-31;283.64
2020-06-01;283.25
2020-06-02;283.5
2020-06-03;288.72
2020-06-04;291.92
2020-06-05;281.73
2020-06-06;287.6
2020-06-07;287.76
2020-06-08;275.18
2020-06-09;280.91
2020-06-10;283.19
2020-06-11;282.67
2020-06-12;286.35
2020-06-13;281.07
2020-06-14;288.58
2020-06-15;279.29
2020-06-16;270.86
2020-06-17;277.9
2020-06-18;270.09
2020-06-19;268.74
2020-06-20;274.31
2020-06-21;276.52
2020-06-22;283.02
2020-06-23;272.42
2020-06-24;271.53
2020-06-25;276.63
2020-06-26;281.1
2020-06-27;273.95
2020-06-28;268.43
2020-06-29;257.91
2020-06-30;257.32
2020-07-01;253.06
2020-07-02;258.94
2020-07-03;264.03
2020-07-04;259.83
2020-07-05;259.13
2020-07-06;252.63
2020-07-07;257.27
2020-07-08;249.95
2020-07-09;252.26
2020-07-10;266.31
2020-07-11;256.76
2020-07-12;265.68
2020-07-13;271.68
2020-07-14;265.98
2020-07-15;263.42
2020-07-16;264.07
2020-07-17;260.34
2020-07-18;270.42
2020-07-19;265.89
2020-07-20;267.53
2020-07-21;267.32
2020-07-22;259.33
2020-07-23;264.32
2020-07-24;264.75
2020-07-25;269.65
2020-07-26;271.88
2020-07-27;271.15
2020-07-28;275.24
2020-07-29;279.34
2020-07-30;272.0
2020-07-31;269.67
2020-08-01;271.4
2020-08-02;260.89
2020-08-03;267.07
2020-08-04;265.76
2020-08-05;261.12
2020-08-06;266.37
2020-08-07;276.46
2020-08-08;263.49
2020-08-09;267.79
2020-08-10;268.47
2020-08-11;281.64
2020-08-12;277.94
2020-08-13;289.56
2020-08-14;288.51
2020-08-15;287.92
2020-08-16;280.75
2020-08-17;292.98
2020-08-18;288.92
2020-08-19;293.47
2020-08-20;292.01
2020-08-21;284.62
2020-08-22;280.28
2020-08-23;291.5
2020-08-24;287.95
2020-08-25;280.97
2020-08-26;281.21
2020-08-27;293.67
2020-08-28;290.71
2020-08-29;291.14
2020-08-30;284.51
2020-08-31;284.45
2020-09-01;289.09
2020-09-02;282.78
2020-09-03;286.26
2020-09-04;278.2
2020-09-05;272.96
2020-09-06;279.6
2020-09-07;277.24
2020-09-08;281.61
2020-09-09;288.2
2020-09-10;283.34
2020-09-11;290.64
2020-09-12;277.34
2020-09-13;285.1
2020-09-14;276.16
2020-09-15;278.7
2020-09-16;276.33
2020-09-17;277.2
2020-09-18;269.7
2020-09-19;275.79
2020-09-20;269.59
2020-09-21;271.34
2020-09-22;267.73
2020-09-23;271.92
2020-09-24;276.86
2020-09-25;282.24
2020-09-26;275.19
2020-09-27;261.77
2020-09-28;253.8
2020-09-29;261.46
2020-09-30;253.05
2020-10-01;261.28
2020-10-02;247.61
2020-10-03;260.36
2020-10-04;254.17
2020-10-05;241.68
2020-10-06;257.08
2020-10-07;256.09
2020-10-08;256.63
2020-10-09;260.1
2020-10-10;258.5
2020-10-11;266.04
2020-10-12;252.85
2020-10-13;260.46
2020-10-14;263.2
2020-10-15;259.78
2020-10-16;263.69
2020-10-17;257.16
2020-10-18;261.77
2020-10-19;261.01
2020-10-20;264.12
2020-10-21;259.95
2020-10-22;267.97
2020-10-23;266.09
2020-10-24;259.84
2020-10-25;262.39
2020-10-26;267.22
2020-10-27;274.93
2020-10-28;264.94
2020-10-29;257.98
2020-10-30;264.47
2020-10-31;268.47
2020-11-01;260.13
2020-11-02;274.03
2020-11-03;273.32
2020-11-04;277.34
2020-11-05;276.85
2020-11-06;282.79
2020-11-07;264.24
2020-11-08;265.7
2020-11-09;264.07
2020-11-10;270.1
2020-11-11;287.41
2020-11-12;289.35
2020-11-13;287.27
2020-11-14;289.72
2020-11-15;301.84
2020-11-16;300.49
2020-11-17;293.65
2020-11-18;283.99
2020-11-19;283.45
2020-11-20;294.45
2020-11-21;283.74
2020-11-22;288.73
2020-11-23;292.04
2020-11-24;287.11
2020-11-25;290.58
2020-11-26;276.06
2020-11-27;288.72
2020-11-28;277.27
2020-11-29;277.39
2020-11-30;284.8
2020-12-01;292.03
2020-12-02;275.75
2020-12-03;284.54
2020-12-04;284.66
2020-12-05;289.04
2020-12-06;283.86
2020-12-07;277.95
2020-12-08;282.45
2020-12-09;281.84
2020-12-10;279.37
2020-12-11;278.61
2020-12-12;278.93
2020-12-13;277.13
2020-12-14;276.51
2020-12-15;281.63
2020-12-16;276.78
2020-12-17;267.38
2020-12-18;269.08
2020-12-19;283.32
2020-12-20;284.58
2020-12-21;277.68
2020-12-22;275.59
2020-12-23;273.97
2020-12-24;274.66
2020-12-25;276.32
2020-12-26;259.94
2020-12-27;254.67
2020-12-28;254.4
2020-12-29;250.4
2020-12-30;258.92
2020-12-31;251.91
2021-01-01;265.58
2021-01-02;264.75
2021-01-03;259.27
2021-01-04;262.29
2021-01-05;262.16
2021-01-06;267.66
2021-01-07;261.53
2021-01-08;268.16
2021-01-09;254.01
2021-01-10;252.43
2021-01-11;261.76
2021-01-12;267.29
2021-01-13;264.07
2021-01-14;264.19
2021-01-15;268.36
2021-01-16;263.44
2021-01-17;268.7
2021-01-18;269.73
