Date;Value
2015-03-31;482.98
2015-04-01;555.88
2015-04-02;552.51
2015-04-03;480.03
2015-04-04;410.79
2015-04-05;363.29
2015-04-06;422.66
2015-04-07;500.98
2015-04-08;571.28
2015-04-09;571.85
2015-04-10;513.51
2015-04-11;435.63
2015-04-12;397.6
2015-04-13;437.48
2015-04-14;519.73
2015-04-15;594.11
2015-04-16;605.06
2015-04-17;529.37
2015-04-18;454.61
2015-04-19;419.11
2015-04-20;463.64
2015-04-21;555.55
2015-04-22;624.99
2015-04-23;626.99
2015-04-24;557.3
2015-04-25;484.3
2015-04-26;435.7
2015-04-27;485.74
2015-04-28;564.05
2015-04-29;644.94
2015-04-30;649.39
2015-05-01;576.73
2015-05-02;498.32
2015-05-03;458.23
2015-05-04;498.99
2015-05-05;584.98
2015-05-06;664.97
2015-05-07;665.04
2015-05-08;604.8
2015-05-09;515.47
2015-05-10;484.18
2015-05-11;528.23
2015-05-12;616.42
2015-05-13;680.89
2015-05-14;677.44
2015-05-15;617.16
2015-05-16;531.84
2015-05-17;504.41
2015-05-18;535.74
2015-05-19;623.1
2015-05-20;704.56
2015-05-21;696.98
2015-05-22;634.7
2015-05-23;553.92
2015-05-24;509.12
2015-05-25;561.47
2015-05-26;646.32
2015-05-27;720.03
2015-05-28;710.31
2015-05-29;646.35
2015-05-30;559.98
2015-05-31;524.77
2015-06-01;568.43
2015-06-02;655.41
2015-06-03;725.96
2015-06-04;723.42
2015-06-05;659.49
2015-06-06;583.81
2015-06-07;544.9
2015-06-08;575.18
2015-06-09;662.23
2015-06-10;733.99
2015-06-11;727.66
2015-06-12;670.95
2015-06-13;588.57
2015-06-14;542.52
2015-06-15;591.84
2015-06-16;674.49
2015-06-17;738.01
2015-06-18;742.67
2015-06-19;674.55
2015-06-20;582.87
2015-06-21;556.44
2015-06-22;591.05
2015-06-23;683.53
2015-06-24;741.46
2015-06-25;737.08
2015-06-26;677.17
2015-06-27;592.25
2015-06-28;552.75
2015-06-29;592.78
2015-06-30;676.41
2015-07-01;741.19
2015-07-02;740.65
2015-07-03;673.31
2015-07-04;605.8
2015-07-05;548.58
2015-07-06;593.44
2015-07-07;678.32
2015-07-08;749.88
2015-07-09;745.74
2015-07-10;676.13
2015-07-11;588.79
2015-07-12;556.9
2015-07-13;579.62
2015-07-14;685.24
2015-07-15;739.08
2015-07-16;737.7
2015-07-17;666.98
2015-07-18;585.54
2015-07-19;548.13
2015-07-20;577.03
2015-07-21;659.7
2015-07-22;735.71
2015-07-23;721.22
2015-07-24;663.94
2015-07-25;579.71
2015-07-26;533.46
2015-07-27;569.1
2015-07-28;657.15
2015-07-29;716.49
2015-07-30;717.68
2015-07-31;650.13
2015-08-01;557.68
2015-08-02;520.6
2015-08-03;553.67
