Date;Value
2025-01-01;339.35
2025-01-02;344.8
2025-01-03;276.99
2025-01-04;186.13
2025-01-05;147.03
2025-01-06;189.54
2025-01-07;276.04
2025-01-08;339.31
2025-01-09;349.82
2025-01-10;278.68
2025-01-11;194.34
2025-01-12;157.19
2025-01-13;197.29
2025-01-14;285.53
2025-01-15;352.32
2025-01-16;350.08
2025-01-17;293.12
2025-01-18;201.01
2025-01-19;166.36
2025-01-20;206.02
2025-01-21;289.21
2025-01-22;356.25
2025-01-23;359.95
2025-01-24;284.81
2025-01-25;204.35
2025-01-26;170.76
2025-01-27;220.9
2025-01-28;301.83
2025-01-29;362.66
2025-01-30;375.58
2025-01-31;309.25
2025-02-01;227.5
2025-02-02;184.39
2025-02-03;225.69
2025-02-04;309.43
2025-02-05;378.77
2025-02-06;388.81
2025-02-07;327.68
2025-02-08;234.45
2025-02-09;205.11
2025-02-10;242.59
2025-02-11;330.93
2025-02-12;402.86
2025-02-13;411.4
2025-02-14;338.65
2025-02-15;260.14
2025-02-16;219.46
2025-02-17;253.87
2025-02-18;351.21
2025-02-19;424.34
2025-02-20;417.39
2025-02-21;355.84
2025-02-22;272.19
2025-02-23;236.8
2025-02-24;280.74
2025-02-25;373.55
2025-02-26;442.88
2025-02-27;446.31
2025-02-28;383.06
2025-03-01;291.37
2025-03-02;268.4
2025-03-03;296.04
2025-03-04;389.27
2025-03-05;461.48
2025-03-06;462.96
2025-03-07;397.33
2025-03-08;324.99
2025-03-09;280.28
2025-03-10;323.12
2025-03-11;412.73
2025-03-12;485.86
2025-03-13;482.36
2025-03-14;423.32
2025-03-15;346.86
2025-03-16;309.1
2025-03-17;349.58
2025-03-18;437.84
2025-03-19;505.22
2025-03-20;513.67
2025-03-21;439.27
2025-03-22;373.0
2025-03-23;337.55
2025-03-24;373.7
2025-03-25;462.91
2025-03-26;529.29
2025-03-27;534.07
2025-03-28;466.51
2025-03-29;384.06
2025-03-30;361.68
2025-03-31;400.79
