Date;Value
2020-01-01;541.2
2020-01-02;532.78
2020-01-03;476.97
2020-01-04;477.87
2020-01-05;457.79
2020-01-06;476.02
2020-01-07;572.82
2020-01-08;580.6
2020-01-09;551.98
2020-01-10;489.99
2020-01-11;479.64
2020-01-12;489.01
2020-01-13;495.35
2020-01-14;597.07
2020-01-15;583.65
2020-01-16;544.75
2020-01-17;546.67
2020-01-18;481.38
2020-01-19;509.83
2020-01-20;526.76
2020-01-21;611.79
2020-01-22;625.67
2020-01-23;565.94
2020-01-24;561.04
2020-01-25;525.15
2020-01-26;546.22
2020-01-27;534.35
2020-01-28;596.73
2020-01-29;633.47
2020-01-30;595.32
2020-01-31;567.27
2020-02-01;541.74
2020-02-02;531.05
2020-02-03;574.12
2020-02-04;620.61
2020-02-05;640.89
2020-02-06;598.11
2020-02-07;566.53
2020-02-08;567.6
2020-02-09;574.88
2020-02-10;588.97
2020-02-11;644.16
2020-02-12;645.67
2020-02-13;645.7
2020-02-14;571.23
2020-02-15;557.5
2020-02-16;551.91
2020-02-17;569.58
2020-02-18;433.87
2020-02-19;663.86
2020-02-20;650.14
2020-02-21;571.59
2020-02-22;575.4
2020-02-23;577.52
2020-02-24;600.34
2020-02-25;671.18
2020-02-26;669.28
2020-02-27;649.54
2020-02-28;596.4
2020-02-29;572.32
2020-03-01;590.42
2020-03-02;621.28
2020-03-03;661.4
2020-03-04;681.79
2020-03-05;449.23
2020-03-06;598.03
2020-03-07;587.47
2020-03-08;613.1
2020-03-09;587.71
2020-03-10;654.53
2020-03-11;672.8
2020-03-12;669.5
2020-03-13;645.64
2020-03-14;612.44
2020-03-15;604.26
2020-03-16;625.42
2020-03-17;699.91
2020-03-18;711.49
2020-03-19;675.54
2020-03-20;668.03
2020-03-21;616.97
2020-03-22;625.17
2020-03-23;649.94
2020-03-24;694.67
2020-03-25;693.87
2020-03-26;686.41
2020-03-27;641.25
2020-03-28;618.96
2020-03-29;595.12
2020-03-30;624.08
2020-03-31;701.63
2020-04-01;718.45
2020-04-02;684.83
2020-04-03;639.36
2020-04-04;603.56
2020-04-05;602.1
2020-04-06;618.77
2020-04-07;697.13
2020-04-08;739.11
2020-04-09;697.78
2020-04-10;632.11
2020-04-11;623.39
2020-04-12;595.32
2020-04-13;626.47
2020-04-14;698.97
2020-04-15;706.45
2020-04-16;665.51
2020-04-17;630.79
2020-04-18;603.48
2020-04-19;619.92
2020-04-20;622.03
2020-04-21;680.66
2020-04-22;693.49
2020-04-23;684.08
2020-04-24;639.57
2020-04-25;590.43
2020-04-26;624.3
2020-04-27;652.53
2020-04-28;663.28
2020-04-29;688.28
2020-04-30;680.29
2020-05-01;641.87
2020-05-02;553.07
2020-05-03;630.72
2020-05-04;609.01
